avg_cluster_size	consistency	t	combo
30	0.18522546316075658	2.7876765727996826	ba + he + hy + ms
35	0.15597933739853187	2.3214282989501953	ba + he + hy + ms
40	0.19138152017710802	2.3483145236968994	ba + he + hy + ms
45	0.18932302792558356	2.4039838314056396	ba + he + hy + ms
50	0.18811900415582397	2.3156416416168213	ba + he + hy + ms
55	0.18881811473181342	2.503641366958618	ba + he + hy + ms
60	0.18942012661669322	2.4936940670013428	ba + he + hy + ms
65	0.18943954635491514	2.1425561904907227	ba + he + hy + ms
70	0.18934244766380548	2.499098300933838	ba + he + hy + ms
75	0.18936186740202743	2.0710315704345703	ba + he + hy + ms
80	0.19097370567444752	2.102903127670288	ba + he + hy + ms
85	0.19052705169534315	2.240413188934326	ba + he + hy + ms
90	0.18980852138113177	2.07256817817688	ba + he + hy + ms
95	0.19109022410377907	2.1495656967163086	ba + he + hy + ms
100	0.19126500174777644	2.372331142425537	ba + he + hy + ms
105	0.19231366761176058	2.161221742630005	ba + he + hy + ms
110	0.19297393871130616	2.085071086883545	ba + he + hy + ms
115	0.19318755583174738	2.1084182262420654	ba + he + hy + ms
120	0.19423622169573154	1.9745640754699707	ba + he + hy + ms
125	0.21278207169767352	2.156733274459839	ba + he + hy + ms
130	0.2135782809647726	1.944127082824707	ba + he + hy + ms
135	0.21260729405367615	2.056342363357544	ba + he + hy + ms
140	0.21305394803278052	1.9623255729675293	ba + he + hy + ms
145	0.2139860954674331	2.0818212032318115	ba + he + hy + ms
150	0.21544257583407775	1.880934476852417	ba + he + hy + ms
155	0.2164135627451742	1.9749224185943604	ba + he + hy + ms
160	0.21680195750961276	1.8630297183990479	ba + he + hy + ms
165	0.21767584572959955	2.0537426471710205	ba + he + hy + ms
170	0.21765642599137763	2.0741422176361084	ba + he + hy + ms
175	0.21711267332116363	1.8955016136169434	ba + he + hy + ms
180	0.2162776245776207	1.867725133895874	ba + he + hy + ms
185	0.2170932535829417	1.9356555938720703	ba + he + hy + ms
190	0.21631646405406454	1.8356873989105225	ba + he + hy + ms
195	0.21726803122693905	1.8445792198181152	ba + he + hy + ms
5	0.12776245776206938	7.222626209259033	ba + he + ms + z
10	0.14718219598399815	4.975602626800537	ba + he + ms + z
15	0.1451431234706956	4.5916907787323	ba + he + ms + z
20	0.18860449761137218	4.058938503265381	ba + he + ms + z
25	0.18907057132869848	3.852674722671509	ba + he + ms + z
30	0.18695381986250825	3.842644453048706	ba + he + ms + z
35	0.18887637394647921	3.064486265182495	ba + he + ms + z
40	0.1915757175593273	3.36411190032959	ba + he + ms + z
45	0.19173107546510273	3.4531848430633545	ba + he + ms + z
50	0.19167281625043694	2.971449851989746	ba + he + ms + z
55	0.19076008855400628	2.910098075866699	ba + he + ms + z
60	0.19213888996776324	3.247042655944824	ba + he + ms + z
65	0.19151745834466152	2.8450393676757812	ba + he + ms + z
70	0.19198353206198782	2.873119592666626	ba + he + ms + z
75	0.19276032159086495	3.1565968990325928	ba + he + ms + z
80	0.19287684002019653	2.925619602203369	ba + he + ms + z
85	0.19188643337087816	2.7901690006256104	ba + he + ms + z
90	0.20975259253505263	2.769127607345581	ba + he + ms + z
95	0.21012156756126926	2.7565155029296875	ba + he + ms + z
100	0.2097331727968307	2.7532873153686523	ba + he + ms + z
105	0.21050996232570784	2.720698356628418	ba + he + ms + z
110	0.2110731347341438	2.8197433948516846	ba + he + ms + z
115	0.21173340583368935	2.9222984313964844	ba + he + ms + z
120	0.21818075892336972	2.9832329750061035	ba + he + ms + z
125	0.21948188138423894	2.696845293045044	ba + he + ms + z
130	0.2204528682953354	2.8640077114105225	ba + he + ms + z
135	0.22177341049442653	2.8677115440368652	ba + he + ms + z
140	0.21322872567677786	2.693366289138794	ba + he + ms + z
145	0.21369479939410416	2.642251491546631	ba + he + ms + z
150	0.22381248300772905	2.6609137058258057	ba + he + ms + z
155	0.21548141531052162	2.7892634868621826	ba + he + ms + z
160	0.22169573154153882	2.8575615882873535	ba + he + ms + z
165	0.22231716316464054	2.965581178665161	ba + he + ms + z
170	0.22239484211752825	2.642521619796753	ba + he + ms + z
175	0.22258903949974754	2.633185863494873	ba + he + ms + z
180	0.2251136054685983	2.690502643585205	ba + he + ms + z
185	0.2234435079815124	2.762383460998535	ba + he + ms + z
190	0.2155979337398532	2.919051170349121	ba + he + ms + z
195	0.22223948421175282	2.646876811981201	ba + he + ms + z
5	0.12902474074649473	26.52098059654236	ba + he + ms + pI + z
10	0.146949159125335	24.69823455810547	ba + he + ms + pI + z
15	0.14792014603643142	22.84022808074951	ba + he + ms + pI + z
20	0.18153571289859013	22.978238821029663	ba + he + ms + pI + z
25	0.18291451431234707	22.927457094192505	ba + he + ms + pI + z
30	0.18681788169495475	22.25075387954712	ba + he + ms + pI + z
35	0.18883753447003535	23.056885242462158	ba + he + ms + pI + z
40	0.19151745834466152	22.982481002807617	ba + he + ms + pI + z
45	0.19188643337087816	22.48605966567993	ba + he + ms + pI + z
50	0.19206121101487553	22.56367778778076	ba + he + ms + pI + z
55	0.19027459509845807	22.34300422668457	ba + he + ms + pI + z
60	0.19142035965355186	22.411354303359985	ba + he + ms + pI + z
65	0.19318755583174738	22.01018786430359	ba + he + ms + pI + z
70	0.19363420981085175	22.41699767112732	ba + he + ms + pI + z
75	0.19380898745484912	22.40648913383484	ba + he + ms + pI + z
80	0.19388666640773683	22.095093488693237	ba + he + ms + pI + z
85	0.19312929661708161	21.769596338272095	ba + he + ms + pI + z
90	0.20198469724628113	22.156009435653687	ba + he + ms + pI + z
95	0.20229541305783197	21.53454041481018	ba + he + ms + pI + z
100	0.20336349866003806	21.94321060180664	ba + he + ms + pI + z
105	0.2185108944731425	22.16302514076233	ba + he + ms + pI + z
110	0.21907406688157843	22.003552198410034	ba + he + ms + pI + z
115	0.2194430419077951	22.074041604995728	ba + he + ms + pI + z
120	0.2188992892375811	21.725619792938232	ba + he + ms + pI + z
125	0.21893812871402493	21.59141755104065	ba + he + ms + pI + z
130	0.21814191944692585	21.730643272399902	ba + he + ms + pI + z
135	0.21835553656736706	21.528896808624268	ba + he + ms + pI + z
140	0.21936536295490736	21.65325093269348	ba + he + ms + pI + z
145	0.2208606827979959	21.774826765060425	ba + he + ms + pI + z
150	0.22070532489222044	21.69400668144226	ba + he + ms + pI + z
155	0.2223560026410844	21.705482959747314	ba + he + ms + pI + z
160	0.2162776245776207	21.675797700881958	ba + he + ms + pI + z
165	0.21779236415893113	21.89479660987854	ba + he + ms + pI + z
170	0.21907406688157843	21.771068572998047	ba + he + ms + pI + z
175	0.21895754845224685	21.951800107955933	ba + he + ms + pI + z
180	0.21963723929001436	21.5168776512146	ba + he + ms + pI + z
185	0.21981201693401173	21.738521575927734	ba + he + ms + pI + z
190	0.2204528682953354	21.713315963745117	ba + he + ms + pI + z
195	0.22602633316502893	21.801297903060913	ba + he + ms + pI + z
205	0.2168213772478347	1.4246323108673096	ba + he + hy
210	0.21717093253582942	1.3922348022460938	ba + he + hy
215	0.2399697052083738	1.3779969215393066	ba + he + hy
220	0.24134850662213073	1.4046146869659424	ba + he + hy
225	0.2495630558900066	1.5165235996246338	ba + he + hy
230	0.2416592224336816	1.5334649085998535	ba + he + hy
235	0.24130966714568688	1.3883342742919922	ba + he + hy
240	0.24130966714568688	1.3748037815093994	ba + he + hy
245	0.2417174816483474	1.3739018440246582	ba + he + hy
250	0.24987377170155747	1.3769176006317139	ba + he + hy
255	0.2410572105488018	1.375859260559082	ba + he + hy
260	0.21592806928962596	1.3688442707061768	ba + he + hy
265	0.20212063541383463	1.378695011138916	ba + he + hy
270	0.22569619761525614	1.3846352100372314	ba + he + hy
275	0.2278323688196683	1.3787212371826172	ba + he + hy
280	0.24088243290480443	1.419966697692871	ba + he + hy
285	0.20441216452402222	1.3683435916900635	ba + he + hy
290	0.20816017400085446	1.3670122623443604	ba + he + hy
295	0.20299452363382142	1.3541085720062256	ba + he + hy
300	0.22523012389792985	1.5561349391937256	ba + he + hy
305	0.24035809997281238	1.3651649951934814	ba + he + hy
310	0.2032469802307065	1.371455192565918	ba + he + hy
315	0.24445566473763933	1.3612561225891113	ba + he + hy
320	0.21689905620072242	1.383720874786377	ba + he + hy
325	0.2330174389249233	1.365415096282959	ba + he + hy
330	0.22610401211791664	1.550133228302002	ba + he + hy
335	0.23643531285198274	1.346019983291626	ba + he + hy
340	0.2241620382957238	1.3572335243225098	ba + he + hy
345	0.2204528682953354	1.3789498805999756	ba + he + hy
350	0.21575329164562862	1.3633348941802979	ba + he + hy
355	0.2423389132714491	1.352532148361206	ba + he + hy
360	0.24039693944925622	1.3434431552886963	ba + he + hy
365	0.23892103934438963	1.4390497207641602	ba + he + hy
370	0.2452324542665165	1.6085748672485352	ba + he + hy
375	0.24216413562745173	1.3560457229614258	ba + he + hy
380	0.22738571484056394	1.3723413944244385	ba + he + hy
385	0.22695848059968152	1.3515760898590088	ba + he + hy
390	0.22959956499786383	1.3586361408233643	ba + he + hy
395	0.2536606206548336	1.3548083305358887	ba + he + hy
400	0.23583330096710298	1.3521819114685059	ba + he + hy
405	0.2468637122771585	1.3624672889709473	ba + he + hy
410	0.25230123897929857	1.5614948272705078	ba + he + hy
415	0.24501883714607528	1.3533239364624023	ba + he + hy
420	0.24501883714607528	1.3685381412506104	ba + he + hy
425	0.22948304656853225	1.349139928817749	ba + he + hy
430	0.22730803588767623	1.341648817062378	ba + he + hy
435	0.23682370761642133	1.3420612812042236	ba + he + hy
440	0.2429991843709947	1.3462867736816406	ba + he + hy
445	0.2429991843709947	1.3477625846862793	ba + he + hy
450	0.2193071037402416	1.355332851409912	ba + he + hy
455	0.2276187516992271	1.3498384952545166	ba + he + hy
460	0.2276187516992271	1.3445258140563965	ba + he + hy
465	0.24000854468481764	1.3357796669006348	ba + he + hy
470	0.23253194546937508	1.3373312950134277	ba + he + hy
475	0.23253194546937508	1.34623384475708	ba + he + hy
480	0.2322212296578242	1.354400396347046	ba + he + hy
485	0.2607682448440595	1.3505163192749023	ba + he + hy
490	0.2607682448440595	1.419506549835205	ba + he + hy
495	0.23725094185730378	1.4161772727966309	ba + he + hy
500	0.23725094185730378	1.48819899559021	ba + he + hy
505	0.2602439119120674	1.4752914905548096	ba + he + hy
510	0.2602439119120674	1.370737075805664	ba + he + hy
515	0.25006796908377676	1.3473448753356934	ba + he + hy
520	0.2408435934283606	1.331660509109497	ba + he + hy
525	0.2408435934283606	1.3356170654296875	ba + he + hy
530	0.23447391929156794	1.3406732082366943	ba + he + hy
