actual	baseline	metrics	n	dm	t
0.09488372093023256	0.09488372093023256	retention	4300	Hamming	0.4001932144165039
0.6473118279569893	0.43870967741935485	purity	4300	Hamming	0.4001932144165039
0.3961038961038961	0.05194805194805195	purity_90	4300	Hamming	0.4001932144165039
0.17849462365591398	0.13118279569892474	consistency	4300	Hamming	0.4001932144165039
0.11093023255813954	0.11093023255813954	retention	4300	Levenshtein	3.3139729499816895
0.5918367346938775	0.44155844155844154	purity	4300	Levenshtein	3.3139729499816895
0.33962264150943394	0.07547169811320754	purity_90	4300	Levenshtein	3.3139729499816895
0.1725417439703154	0.14100185528756956	consistency	4300	Levenshtein	3.3139729499816895
0.08886363636363637	0.08886363636363637	retention	4400	Hamming	0.3700680732727051
0.6844547563805105	0.46403712296983757	purity	4400	Hamming	0.3700680732727051
0.3732394366197183	0.09154929577464789	purity_90	4400	Hamming	0.3700680732727051
0.2273781902552204	0.14385150812064965	consistency	4400	Hamming	0.3700680732727051
0.11318181818181818	0.11318181818181818	retention	4400	Levenshtein	3.5529277324676514
0.605683836589698	0.4511545293072824	purity	4400	Levenshtein	3.5529277324676514
0.3136094674556213	0.10059171597633136	purity_90	4400	Levenshtein	3.5529277324676514
0.20426287744227353	0.14031971580817051	consistency	4400	Levenshtein	3.5529277324676514
0.08377777777777778	0.08377777777777778	retention	4500	Hamming	0.3247334957122803
0.6951219512195121	0.4658536585365854	purity	4500	Hamming	0.3247334957122803
0.43356643356643354	0.0979020979020979	purity_90	4500	Hamming	0.3247334957122803
0.22926829268292684	0.13658536585365855	consistency	4500	Hamming	0.3247334957122803
0.1068888888888889	0.1068888888888889	retention	4500	Levenshtein	3.8545830249786377
0.6335877862595419	0.4637404580152672	purity	4500	Levenshtein	3.8545830249786377
0.3869047619047619	0.09523809523809523	purity_90	4500	Levenshtein	3.8545830249786377
0.20038167938931298	0.12595419847328243	consistency	4500	Levenshtein	3.8545830249786377
0.08717391304347825	0.08717391304347825	retention	4600	Hamming	0.31756043434143066
0.6659192825112108	0.4730941704035874	purity	4600	Hamming	0.31756043434143066
0.41830065359477125	0.09803921568627451	purity_90	4600	Hamming	0.31756043434143066
0.2219730941704036	0.15022421524663676	consistency	4600	Hamming	0.31756043434143066
0.1058695652173913	0.1058695652173913	retention	4600	Levenshtein	3.786999225616455
0.6039783001808319	0.45569620253164556	purity	4600	Levenshtein	3.786999225616455
0.3505747126436782	0.04597701149425287	purity_90	4600	Levenshtein	3.786999225616455
0.18806509945750452	0.12296564195298372	consistency	4600	Levenshtein	3.786999225616455
0.08723404255319149	0.08723404255319149	retention	4700	Hamming	0.3327455520629883
0.658695652173913	0.45869565217391306	purity	4700	Hamming	0.3327455520629883
